




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	upload_1 (Synechocystis)
Reference List:	Synechocystis (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Synechocystis - REFLIST (3448)	upload_1 (29)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
intracellular protein transmembrane transport (GO:0065002)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription, elongation (GO:0032784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sporulation (GO:0043934)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-containing complex subunit organization (GO:0043933)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of ATP-dependent activity (GO:0032781)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine biosynthetic process (GO:0006578)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytidine catabolic process (GO:0006216)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amino-acid betaine metabolic process (GO:0006577)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular biogenic amine metabolic process (GO:0006576)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
cellular modified amino acid metabolic process (GO:0006575)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
valine metabolic process (GO:0006573)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
tyrosine catabolic process (GO:0006572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosine biosynthetic process (GO:0006571)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tyrosine metabolic process (GO:0006570)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
antibiotic metabolic process (GO:0016999)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
nucleoside bisphosphate biosynthetic process (GO:0033866)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
nucleoside bisphosphate metabolic process (GO:0033865)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
cellulose catabolic process (GO:0030245)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell wall macromolecule catabolic process (GO:0016998)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
septin ring assembly (GO:0000921)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellulose metabolic process (GO:0030243)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA methylation on cytosine (GO:0032776)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
C-5 methylation of cytosine (GO:0090116)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA methylation on adenine (GO:0032775)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA biosynthetic process (GO:0032774)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
cytosine catabolic process (GO:0006209)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process (GO:0006569)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
tryptophan metabolic process (GO:0006568)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
threonine catabolic process (GO:0006567)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
threonine metabolic process (GO:0006566)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular biosynthetic process (GO:0031327)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
L-serine catabolic process (GO:0006565)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dGTP catabolic process (GO:0006203)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-serine biosynthetic process (GO:0006564)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organic substance biosynthetic process (GO:1901576)	553	0	4.65	-	 < 0.01	9.76E-03	1.00E00
L-serine metabolic process (GO:0006563)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular metabolic process (GO:0031324)	18	0	.15	-	 < 0.01	1.00E00	1.00E00
proline catabolic process (GO:0006562)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proline biosynthetic process (GO:0006561)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
proline metabolic process (GO:0006560)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
division septum site selection (GO:0000918)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
division septum assembly (GO:0000917)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cytokinesis (GO:0000910)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine catabolic process (GO:0006559)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
L-phenylalanine metabolic process (GO:0006558)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
siderophore transport (GO:0015891)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthetic process (GO:0006556)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
flavonoid biosynthetic process (GO:0009813)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methionine metabolic process (GO:0006555)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
flavonoid metabolic process (GO:0009812)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound biosynthetic process (GO:1901566)	395	0	3.32	-	 < 0.01	6.92E-02	1.00E00
lysine metabolic process (GO:0006553)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
organonitrogen compound catabolic process (GO:1901565)	60	0	.50	-	 < 0.01	1.00E00	1.00E00
leucine metabolic process (GO:0006551)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate biosynthetic process (GO:0042823)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphate metabolic process (GO:0042822)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell morphogenesis (GO:0000902)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
formaldehyde catabolic process (GO:0046294)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
formaldehyde metabolic process (GO:0046292)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cobalamin transport (GO:0015889)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
5-formyltetrahydrofolate transport (GO:0015885)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoleucine metabolic process (GO:0006549)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
folic acid transport (GO:0015884)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histidine metabolic process (GO:0006547)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
glycine catabolic process (GO:0006546)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular response to nutrient levels (GO:0031669)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process (GO:0006545)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glycine metabolic process (GO:0006544)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to nutrient levels (GO:0031667)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vitamin B6 biosynthetic process (GO:0042819)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamine biosynthetic process (GO:0006542)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamine metabolic process (GO:0006541)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
vitamin B6 metabolic process (GO:0042816)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
circadian rhythm (GO:0007623)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
biotin transport (GO:0015878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate catabolic process (GO:0006538)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glutamate biosynthetic process (GO:0006537)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glutamate metabolic process (GO:0006536)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cysteine biosynthetic process from serine (GO:0006535)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cysteine metabolic process (GO:0006534)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
aspartate metabolic process (GO:0006531)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
1,6-anhydro-N-acetyl-beta-muramic acid catabolic process (GO:0097175)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
1,6-anhydro-N-acetyl-beta-muramic acid metabolic process (GO:0097174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylmuramic acid catabolic process (GO:0097173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylmuramic acid metabolic process (GO:0097172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation reinitiation (GO:0002188)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate biosynthetic process (GO:0030206)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoleucine transmembrane transport (GO:1903714)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chondroitin sulfate metabolic process (GO:0030204)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycosaminoglycan metabolic process (GO:0030203)	34	0	.29	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translational initiation (GO:0002183)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic translation (GO:0002181)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process (GO:0006527)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
arginine biosynthetic process (GO:0006526)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
arginine metabolic process (GO:0006525)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
intracellular protein transport (GO:0006886)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
alanine catabolic process (GO:0006524)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein stability (GO:0031647)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alanine biosynthetic process (GO:0006523)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of pH (GO:0006885)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alanine metabolic process (GO:0006522)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
cell volume homeostasis (GO:0006884)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular zinc ion homeostasis (GO:0006882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amino acid metabolic process (GO:0006520)	150	0	1.26	-	 < 0.01	6.35E-01	1.00E00
intracellular sequestering of iron ion (GO:0006880)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cell septum assembly (GO:1901891)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of molecular function (GO:0044093)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of molecular function (GO:0044092)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phototransduction (GO:0007602)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide metabolic process (GO:0006518)	120	0	1.01	-	 < 0.01	6.24E-01	1.00E00
cellular iron ion homeostasis (GO:0006879)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular cadmium ion homeostasis (GO:0006876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular metal ion homeostasis (GO:0006875)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular calcium ion homeostasis (GO:0006874)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular ion homeostasis (GO:0006873)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cellular component biogenesis (GO:0044087)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cellular component biogenesis (GO:0044085)	95	0	.80	-	 < 0.01	1.00E00	1.00E00
polyamine transport (GO:0015846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton transmembrane transport (GO:1902600)	36	0	.30	-	 < 0.01	1.00E00	1.00E00
GPI anchor biosynthetic process (GO:0006506)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GPI anchor metabolic process (GO:0006505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of anion transport (GO:0044070)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
terpene catabolic process (GO:0046247)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
terpene biosynthetic process (GO:0046246)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to cytokinin stimulus (GO:0071368)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to zinc ion (GO:0010043)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to iron(III) ion (GO:0010041)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
organophosphate biosynthetic process (GO:0090407)	119	0	1.00	-	 < 0.01	6.24E-01	1.00E00
lipid-linked peptidoglycan transport (GO:0015836)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidoglycan transport (GO:0015835)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide transport (GO:0015833)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oligopeptide transport (GO:0006857)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to iron ion (GO:0010039)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
response to metal ion (GO:0010038)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA wobble position uridine thiolation (GO:0002143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to inorganic substance (GO:0010035)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
intracellular receptor signaling pathway (GO:0030522)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to organic substance (GO:0010033)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
valine transport (GO:0015829)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phenylalanine transport (GO:0015823)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
methionine transport (GO:0015821)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
leucine transport (GO:0015820)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thylakoid membrane organization (GO:0010027)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
wobble position uridine ribose methylation (GO:0002132)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
wobble position cytosine ribose methylation (GO:0002131)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
wobble position ribose methylation (GO:0002130)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phytochromobilin biosynthetic process (GO:0010024)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
isoleucine transport (GO:0015818)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-glutamate transmembrane transport (GO:0015813)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway (GO:0019288)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
water transport (GO:0006833)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex assembly (GO:0022618)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
L-methionine salvage from S-adenosylmethionine (GO:0019284)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation (GO:0022616)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA nucleoside ribose methylation (GO:0002128)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucan metabolic process (GO:0044042)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein complex biogenesis (GO:0022613)	37	0	.31	-	 < 0.01	1.00E00	1.00E00
indolalkylamine biosynthetic process (GO:0046219)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
indolalkylamine catabolic process (GO:0046218)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine modification (GO:0018198)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
red or far-red light signaling pathway (GO:0010017)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid modification (GO:0018197)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine modification (GO:0018195)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-alanine transport (GO:0015808)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neutral amino acid transport (GO:0015804)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
branched-chain amino acid transport (GO:0015803)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
zinc ion transport (GO:0006829)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transport (GO:0015800)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iron ion transport (GO:0006826)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
copper ion transport (GO:0006825)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cobalt ion transport (GO:0006824)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cell wall macromolecule biosynthetic process (GO:0044038)	23	0	.19	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine biosynthetic process (GO:0019277)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chloride transport (GO:0006821)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
UDP-N-acetylgalactosamine metabolic process (GO:0019276)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell wall macromolecule metabolic process (GO:0044036)	25	0	.21	-	 < 0.01	1.00E00	1.00E00
cellular component assembly (GO:0022607)	47	0	.40	-	 < 0.01	1.00E00	1.00E00
regulation of cell morphogenesis (GO:0022604)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of anatomical structure morphogenesis (GO:0022603)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
nor-spermidine metabolic process (GO:0046204)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to other organism (GO:0098542)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
calcium ion transport (GO:0006816)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
sodium ion transport (GO:0006814)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
potassium ion transport (GO:0006813)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
cation transport (GO:0006812)	87	0	.73	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine biosynthetic process from serine (GO:0019264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
